Complaint ID,Date submitted,Date received,Submitted via,State,Product,Sub-product,Issue,Sub-issue,Company public response,Company response to consumer
5130464,2022-01-19,2022-01-20,Referral,AZ,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4057638,2021-01-08,2021-01-08,Postal mail,CA,Checking or savings account,Checking account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3965842,2020-11-20,2020-11-20,Web,WA,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3857158,2020-09-21,2020-09-21,Phone,FL,Mortgage,Conventional home mortgage,Closing on a mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2860610,2018-03-31,2018-03-31,Web,DC,Checking or savings account,Checking account,Incorrect information on your report,Personal information incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3376075,2019-09-16,2019-09-16,Web,CA,"Money transfer, virtual currency, or money service",Check cashing service,Problem with customer service,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3905182,2020-10-18,2020-10-18,Web,CA,Credit card or prepaid card,Government benefit card,Unexpected or other fees,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2944491,2018-06-24,2018-06-24,Web,FL,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3616039,2020-04-21,2020-04-21,Web,CT,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
3393175,2019-10-01,2019-10-02,Referral,FL,Checking or savings account,Checking account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
4626387,2021-08-12,2021-08-12,Web,MD,Checking or savings account,Checking account,Closing an account,Can't close your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3281378,2019-06-18,2019-06-20,Referral,FL,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4150131,2021-02-16,2021-02-18,Referral,NJ,Mortgage,Other type of mortgage,Applying for a mortgage or refinancing an existing mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
3234055,2019-05-06,2019-05-06,Web,FL,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3085965,2018-11-28,2018-11-28,Web,OH,Mortgage,Conventional home mortgage,Trouble during payment process,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3074535,2018-11-14,2018-11-14,Web,NH,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Money was taken from your account on the wrong day or for the wrong amount,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2859581,2018-03-29,2018-04-02,Referral,DE,Mortgage,Conventional home mortgage,Struggling to pay mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
4552529,2021-07-17,2021-07-17,Web,NJ,Mortgage,FHA mortgage,Struggling to pay mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2685035,2017-09-26,2017-09-26,Web,WA,Mortgage,FHA mortgage,Struggling to pay mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4077899,2021-01-16,2021-01-19,Referral,WA,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4316917,2021-04-21,2021-04-21,Web,FL,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4033319,2020-12-28,2020-12-28,Web,MD,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4359897,2021-05-05,2021-05-07,Referral,TX,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3834555,2020-09-08,2020-09-08,Web,NC,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
3535593,2020-02-18,2020-02-20,Web,FL,Checking or savings account,Checking account,Managing an account,Cashing a check,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2982200,2018-08-05,2018-08-05,Web,TX,Checking or savings account,Checking account,Opening an account,Account opened as a result of fraud,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2843418,2018-03-14,2018-03-14,Phone,PA,Checking or savings account,Checking account,Managing an account,Fee problem,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3641297,2020-05-06,2020-05-07,Referral,NY,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4586007,2021-07-29,2021-07-29,Web,GA,Debt collection,Credit card debt,Communication tactics,"You told them to stop contacting you, but they keep trying",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
3714424,2020-06-24,2020-06-24,Web,MD,Credit card or prepaid card,General-purpose credit card or charge card,Struggling to pay your bill,Credit card company won't work with you while you're going through financial hardship,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2566577,2017-07-03,2017-07-05,Referral,WA,Mortgage,Other type of mortgage,Struggling to pay mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2564328,2017-07-03,2017-07-03,Web,GA,Credit card or prepaid card,General-purpose credit card or charge card,Closing your account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4387992,2021-05-19,2021-05-19,Web,IL,"Money transfer, virtual currency, or money service",Money order,Fraud or scam,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3639786,2020-05-06,2020-05-06,Referral,FL,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3894077,2020-10-11,2020-10-11,Web,CA,Credit card or prepaid card,Government benefit card,Unexpected or other fees,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2855569,2018-03-26,2018-03-26,Web,KY,Mortgage,FHA mortgage,Struggling to pay mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3639921,2020-05-06,2020-05-06,Postal mail,NY,Credit card or prepaid card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
7354892,2023-08-05,2023-08-05,Web,TX,Vehicle loan or lease,Loan,Getting a loan or lease,Problem with a trade-in,0,In progress
3715814,2020-06-25,2020-06-25,Web,IL,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3592243,2020-04-03,2020-04-03,Web,GA,Checking or savings account,Other banking product or service,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2563037,2017-06-30,2017-06-30,Web,CA,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Money was taken from your account on the wrong day or for the wrong amount,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
7355687,2023-08-05,2023-08-05,Web,WA,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,0,In progress
3246431,2019-05-18,2019-05-18,Web,NC,Checking or savings account,Checking account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
5097980,2022-01-12,2022-01-13,Referral,TX,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3119562,2019-01-08,2019-01-08,Web,MD,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2986816,2018-08-08,2018-08-08,Web,AZ,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4157492,2021-02-22,2021-02-22,Web,FL,Mortgage,Conventional home mortgage,Trouble during payment process,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4557327,2021-07-20,2021-07-20,Web,CA,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4579105,2021-07-22,2021-07-27,Referral,AL,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3860181,2020-09-22,2020-09-22,Web,CA,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Can't stop withdrawals from your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
6675016,2023-03-10,2023-03-11,Web,MD,Checking or savings account,Checking account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3974851,2020-11-25,2020-11-25,Phone,NV,Credit card or prepaid card,Government benefit card,Problem with a purchase or transfer,Card company isn't resolving a dispute about a purchase or transfer,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2877200,2018-04-13,2018-04-16,Referral,OR,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3863346,2020-09-23,2020-09-24,Referral,CA,Mortgage,Conventional home mortgage,Struggling to pay mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
